date,meanValue,medianValue,sumValue,stdValue,totaltx,price
2020-07-22,7.400928066291943e+18,0.0,2.9412990348902744e+24,3.986664399031597e+20,1138040.0,245.54
2020-07-23,1.2350380980012976e+19,0.0,5.125296953277839e+24,1.0812178927256759e+21,1147143.0,263.29
2020-07-24,7.832487034511767e+18,0.0,3.076694897000863e+24,4.006537860307266e+20,1146282.0,275.33
2020-07-25,6.944110595350942e+18,0.0,2.8768894667691684e+24,4.168543988718852e+20,1175506.0,279.33
2020-07-26,8.112011407868344e+18,0.0,3.373874776659024e+24,5.487996011908861e+20,1137893.0,305.32
2020-07-27,1.0877483861020193e+19,0.0,4.926412440657708e+24,7.739581079863913e+20,1261456.0,311.12
2020-07-28,6.739715819974834e+18,0.0,3.2658708346017055e+24,4.493755095532525e+20,1222353.0,321.82
2020-07-29,7.42635391035509e+18,0.0,3.061662926622485e+24,4.644245463464164e+20,1163851.0,316.95
2020-07-30,8.204410225726011e+18,0.0,3.4271462394913077e+24,6.184172710868661e+20,1164479.0,317.79
2020-07-31,7.989359572463293e+18,0.0,3.3945430632276263e+24,4.152617577808013e+20,1218838.0,334.84
2020-08-01,6.914110634388396e+18,0.0,3.072900416237632e+24,4.295461097162082e+20,1171566.0,346.48
2020-08-02,7.703958501322821e+18,0.0,3.3110843242848484e+24,5.186912742610455e+20,1125886.0,387.15
2020-08-03,7.233050542216973e+18,0.0,3.2376797828593626e+24,3.773850686642515e+20,1176793.0,372.26
2020-08-04,7.392651699354393e+18,0.0,3.379129343213709e+24,3.956694201687002e+20,1164208.0,385.86
2020-08-05,5.287431854027284e+18,0.0,2.439531171106302e+24,3.5305383780046143e+20,1182699.0,389.62
2020-08-06,5.372541318698326e+18,0.0,2.499752142387916e+24,3.2898795262154487e+20,1215885.0,400.80
2020-08-07,6.51078193159195e+18,0.0,2.874842272676711e+24,3.9488896265254096e+20,1249695.0,394.80
2020-08-08,3.9709026885893606e+18,0.0,1.6590272596815522e+24,2.4711454390462952e+20,1182406.0,379.57
2020-08-09,4.801412896516262e+18,0.0,1.8794362557347406e+24,2.532147225638313e+20,1229151.0,396.78
2020-08-10,7.999431865530484e+18,0.0,3.292518159261537e+24,5.5597726886924104e+20,1289980.0,390.22
2020-08-11,7.622425866350218e+18,0.0,3.089742702499478e+24,4.047947898753982e+20,1254244.0,395.52
2020-08-12,1.1944322389084088e+19,0.0,4.1974857182947857e+24,8.835390542563156e+20,1229214.0,379.03
2020-08-13,1.0535559950906999e+19,0.0,3.9804925828525014e+24,5.005451916439554e+20,1209139.0,387.15
2020-08-14,1.1703090255044076e+19,0.0,4.5794660291606795e+24,5.288405100043282e+20,1201546.0,424.28
2020-08-15,5.515158054682832e+18,0.0,2.217132144088604e+24,4.060766428220466e+20,1107833.0,438.04
2020-08-16,5.284559743646864e+18,0.0,2.0965275334175217e+24,3.2706212292759886e+20,1152369.0,432.22
2020-08-17,7.491353836415781e+18,0.0,2.984757634981863e+24,4.872569997254181e+20,1181976.0,433.62
2020-08-18,7.588262296624212e+18,0.0,2.951621562042732e+24,3.9739819602949734e+20,1229256.0,430.63
2020-08-19,7.545043692321846e+18,0.0,2.9899800945683396e+24,4.269121453754158e+20,1216891.0,422.10
2020-08-20,7.69532749923528e+18,0.0,3.032074464611572e+24,5.202735829932849e+20,1182994.0,407.39
2020-08-21,7.51832910698283e+18,0.0,3.1497438327373066e+24,4.253964747734067e+20,1256752.0,416.05
2020-08-22,5.777544872814976e+18,0.0,2.178163304775248e+24,2.8470540713175715e+20,1102479.0,388.06
2020-08-23,3.884086412130554e+18,0.0,1.5191866024628136e+24,1.870426502608527e+20,1122524.0,395.56
2020-08-24,7.304598600053933e+18,0.0,2.9065947427435066e+24,3.763926559542304e+20,1162182.0,390.81
2020-08-25,7.340727881449495e+18,0.0,2.832544645431482e+24,4.094486239519792e+20,1138199.0,407.64
2020-08-26,7.18476752860825e+18,0.0,2.8575329262456865e+24,4.447402232612024e+20,1166218.0,383.16
2020-08-27,5.92591739279094e+18,0.0,2.3212470278473413e+24,3.552075006751874e+20,1136576.0,385.96
2020-08-28,9.373400893909244e+18,0.0,3.4704735607674507e+24,4.830595600982389e+20,1131912.0,383.16
2020-08-29,8.170728382728578e+18,0.0,2.786594232016191e+24,3.709795249333972e+20,1130992.0,395.32
2020-08-30,1.1175257801451917e+19,0.0,3.5360303725044646e+24,5.797361624608109e+20,1142415.0,398.80
2020-08-31,1.4912060399628855e+19,0.0,5.536341016329046e+24,7.917217705334473e+20,1235856.0,428.81
2020-09-01,1.872895780064097e+19,0.0,6.877647883551975e+24,9.302140010941372e+20,1245701.0,433.89
2020-09-02,1.891569535324422e+19,0.0,6.602145149143383e+24,1.021653079147022e+21,1181212.0,475.72
2020-09-03,1.835852091958992e+19,0.0,6.446594620914325e+24,8.912148496856494e+20,1149636.0,439.14
2020-09-04,1.6509991660249113e+19,0.0,6.494007099659777e+24,8.471025392489679e+20,1141207.0,381.97
2020-09-05,2.02315245124169e+19,0.0,6.386869741800736e+24,8.754379011756783e+20,1040906.0,385.94
2020-09-06,1.5036861726356625e+19,0.0,5.232166258856738e+24,8.114110832526577e+20,1026667.0,334.91
2020-09-07,1.194273024214799e+19,0.0,4.214064022323868e+24,5.3579655036796994e+20,1051480.0,353.49
2020-09-08,1.1352102221369528e+19,0.0,3.901286153600714e+24,5.615898682793844e+20,1026700.0,352.06
